Quarter,Jaccard_Matched_score,KMeans_Embedding_Matched_Score,Agglomerative_Centroid_Matched_Score,LSI_Matched_Score,mean_score
2007-01-01,0.19377496212642886,0.30216434200744424,0.4439685071882286,0.427253032584227,0.3417902109765822
2007-04-01,0.19819672131147537,0.28728027377206494,0.3797692269072371,0.41501544659958495,0.32006541714759057
2007-07-01,0.1739385638818235,0.3009878653706453,0.44256706748328045,0.40236481096379156,0.32996457692488523
2007-10-01,0.07259425998874502,0.1473524651119755,0.2746788750110147,0.2813389542979857,0.19399113860243022
2008-01-01,0.17687017859027465,0.3468233348734321,0.31661377681574937,0.5128826699713054,0.3382974900626904
2008-04-01,0.17687017859027465,0.3468233348734321,0.31661377681574937,0.5128826699713054,0.3382974900626904
2008-07-01,0.17687017859027465,0.3468233348734321,0.31661377681574937,0.5128826699713054,0.3382974900626904
2008-10-01,0.17687017859027465,0.3468233348734321,0.31661377681574937,0.5128826699713054,0.3382974900626904
2009-01-01,0.17687017859027465,0.3468233348734321,0.31661377681574937,0.5128826699713054,0.3382974900626904
2009-04-01,0.17687017859027465,0.3468233348734321,0.31661377681574937,0.5128826699713054,0.3382974900626904
2009-07-01,0.17687017859027465,0.3468233348734321,0.31661377681574937,0.5128826699713054,0.3382974900626904
2009-10-01,0.1406469760900141,0.31364411292857775,0.45156761350609853,0.4131592507566135,0.32975448832032594
2010-01-01,0.21452404317958784,0.27095821142014703,0.3661639611523995,0.3613438214342361,0.3032475092965926
2010-04-01,0.12186216339570977,0.20795626390776556,0.39058704471960787,0.2669942036210198,0.24684991891102576
2010-07-01,0.17687017859027465,0.3468233348734321,0.31661377681574937,0.5128826699713054,0.3382974900626904
2010-10-01,0.17687017859027465,0.3468233348734321,0.31661377681574937,0.5128826699713054,0.3382974900626904
2011-01-01,0.17687017859027465,0.3468233348734321,0.31661377681574937,0.5128826699713054,0.3382974900626904
2011-04-01,0.0791738382099828,0.1029861038842809,0.3846068733571134,0.22361935536125088,0.197596542703157
2011-07-01,0.17687017859027465,0.3468233348734321,0.31661377681574937,0.5128826699713054,0.3382974900626904
2011-10-01,0.16441851986875688,0.28928786788275795,0.3465138993423321,0.3802280693635915,0.2951120891143596
2012-01-01,0.04683118339876613,0.1299776534666805,0.38434923038275076,0.20891514317009513,0.19251830260457314
2012-04-01,0.08954831932773111,0.1922599679779385,0.43385021167709736,0.3442211827352132,0.2649699204294951
2012-07-01,0.2063568504695401,0.4504197079363773,0.26671448911327106,0.615324394876074,0.3847038605988156
2012-10-01,0.1724137931034483,0.41410913822695666,0.3122879473852181,0.572915250215952,0.36793153223289377
2013-01-01,0.24253328535444407,0.468744544498274,0.3438103945794156,0.6590744416378331,0.4285406665174917
2013-04-01,0.223408410363234,0.3567643733789661,0.4376493853220179,0.5673185449968833,0.39628517851527534
2013-07-01,0.16256376136615658,0.3628881911793716,0.4158693163113861,0.5056695526579388,0.36174770537871326
2013-10-01,0.1696861857004206,0.4528475184637151,0.4243546456291659,0.5922545598199516,0.40978572740331326
2014-01-01,0.20066445182724257,0.44931128044955243,0.34747068283985555,0.6426614075216037,0.41002695565956354
2014-04-01,0.24448818897637792,0.5351566572720708,0.30059463286066046,0.6479373393135262,0.43204420460565884
2014-07-01,0.21205490352098666,0.5410734921706545,0.41921385850203424,0.6342804646850351,0.4516556797196776
2014-10-01,0.16943950896462612,0.4935345734146693,0.335664908964002,0.6130885865281677,0.40293189446786626
2015-01-01,0.18453822206848847,0.34727081976155333,0.37834019298755084,0.4875003443176657,0.3494123947838146
2015-04-01,0.19611489977268026,0.39572996845930675,0.3856436348381495,0.5463420040324051,0.3809576267756354
2015-07-01,0.20515613652868558,0.4603645822489402,0.3001278497703619,0.5986950615954045,0.39108590753584804
2015-10-01,0.18917755131333425,0.4758968974433473,0.33673086763798976,0.6328430977748428,0.40866210354237853
2016-01-01,0.14587770003042289,0.5173667219666688,0.27311128440707605,0.6715742920484683,0.401982499613159
2016-04-01,0.10826210826210825,0.37157685764917187,0.334426712255412,0.49517145879071506,0.3273592842393518
2016-07-01,0.20822324966974903,0.46472933239883246,0.26469407212704604,0.6146454970766447,0.3880730378180681
2016-10-01,0.18498764147261615,0.5068567044839376,0.2528719861284591,0.6633304823818719,0.4020117036167212
2017-01-01,0.14044870963558553,0.44220862748806866,0.2956270395981465,0.5993931964067131,0.36941939328212847
2017-04-01,0.2115872057936029,0.4947327672682435,0.2747491259280805,0.6627589132042182,0.4109570030485363
2017-07-01,0.12553035844915872,0.4340482631322922,0.27648411557279834,0.5848174819689851,0.3552200547808086
2017-10-01,0.09818731117824775,0.2836252494492662,0.32683162322182535,0.536410929009101,0.3112637782146101
2018-01-01,0.07054794520547947,0.3775665252657072,0.2738907400714812,0.5102912522538505,0.30807411569912957
2018-04-01,0.22152199762187874,0.43712669067129295,0.21062711935564185,0.6564386444114398,0.38142861301506337
2018-07-01,0.2239348553148175,0.44379835353065067,0.2523516234167707,0.658253413560279,0.3945845614556295
2018-10-01,0.21309680245291285,0.48713240442613764,0.2748702698507953,0.679909076241462,0.413752138242827
2019-01-01,0.23686648140796618,0.5268456767277105,0.32093960624628065,0.7113671501465831,0.44900472863213514
2019-04-01,0.2129880694143167,0.5988814242173995,0.1387618114526622,0.7488330422534192,0.4248660868344494
2019-07-01,0.16728832525177173,0.38061430349219216,0.35641994095499685,0.5694249551189463,0.36843688120447676
2019-10-01,0.1798017932987258,0.5232578305618333,0.16016676964769455,0.690275810879262,0.38837555109687893
