,Sentence_Encoder_Matched_Score
0,0.1957839848473668
1,0.21377892047166824
2,0.28228136897087097
3,0.3168272376060486
4,0.24183250963687897
5,0.4314919710159302
6,0.06502927094697952
7,0.22880952060222626
8,0.3577384054660797
9,0.20785227417945862
10,0.1683066487312317
11,0.21082819998264313
12,0.19668622314929962
13,0.24473482370376587
14,0.16554899513721466
15,0.22277314960956573
16,0.2616061568260193
17,0.24262253940105438
18,0.22493079584091902
19,0.2384422766044736
20,0.2478993870317936
21,0.4040532112121582
22,0.3409178555011749
23,0.4749544560909271
24,0.2496490180492401
25,0.41621145606040955
26,0.38449034094810486
27,0.3621419668197632
28,0.40757134556770325
29,0.3948825001716614
30,0.3576824963092804
31,0.27400821447372437
32,0.3747286796569824
33,0.28623542189598083
34,0.4108319878578186
35,0.4028245210647583
36,0.2502065598964691
37,0.41247129440307617
38,0.3462035655975342
39,0.34149810671806335
40,0.15666484832763672
41,0.36284559965133667
42,0.4250868856906891
43,0.38693246245384216
44,0.4234476387500763
45,0.36294347047805786
46,0.38026586174964905
47,0.4612064063549042
48,0.38365262746810913
49,0.40104180574417114
50,0.17711138725280762
51,0.3948970437049866
52,0.5313913226127625
53,0.501530110836029
54,0.6524859070777893
55,0.5112518668174744
56,0.39887356758117676
57,0.368732213973999
58,0.4835638403892517
59,0.4591082036495209
60,0.32199493050575256
61,0.38610097765922546
