Quarter,mean_score
2007-01-01,0.29485735659234963
2007-04-01,0.23588588527387971
2007-07-01,0.19657157106156642
2007-10-01,0.16848991805277122
2008-01-01,0.14742867829617481
2008-04-01,0.10483327907586902
2008-07-01,0.0650208145851628
2008-10-01,0.02393893609076232
2009-01-01,0.04109967701943023
2009-04-01,0.07876788465951737
2009-07-01,0.10933376883687197
2009-10-01,0.10933376883687197
2010-01-01,0.10933376883687197
2010-04-01,0.10933376883687197
2010-07-01,0.13381119291835872
2010-10-01,0.13381119291835872
2011-01-01,0.12939191467054728
2011-04-01,0.11564310696699914
2011-07-01,0.1179627574151364
2011-10-01,0.16582516165360028
2012-01-01,0.21156612825007295
2012-04-01,0.2649507324605234
2012-07-01,0.2899122841189497
2012-10-01,0.33491726328073695
2013-01-01,0.3493048579173714
2013-04-01,0.37648118698078753
2013-07-01,0.3974394502316204
2013-10-01,0.4058371286148868
2014-01-01,0.4103218914372155
2014-04-01,0.4004579097479607
2014-07-01,0.3984379876116696
2014-10-01,0.4021800996397304
2015-01-01,0.402032289334744
2015-04-01,0.40100539390860335
2015-07-01,0.3879422399442667
2015-10-01,0.3800049377494986
2016-01-01,0.3799458979157261
2016-04-01,0.3824936209539601
2016-07-01,0.38631702691789693
2016-10-01,0.3818217171207447
2017-01-01,0.36961949815349826
2017-04-01,0.3579052514287213
2017-07-01,0.36467986191112356
2017-10-01,0.3655366779383905
2018-01-01,0.36701599262453094
2018-04-01,0.37695914646584355
2018-07-01,0.3786775701149155
2018-10-01,0.38026764332546653
2019-01-01,0.3899972501160409
2019-04-01,0.40233090887567485
2019-07-01,0.39424764709822285
2019-10-01,0.3883479868737459
2020-01-01,0.3805995831756916
2020-04-01,0.36817549288962376
2020-07-01,0.36271865055149205
2020-10-01,0.35272579215590893
2021-01-01,0.3429909427614827
2021-04-01,0.341684310719826
2021-07-01,0.3531317646755923
2021-10-01,0.3565940037311435
2022-01-01,0.3629106943258719
2022-04-01,0.3649408973842257
2022-07-01,0.36242565911026464
2022-10-01,0.3775523970000556
