Quarter,Jaccard_Matched_score,KMeans_Embedding_Matched_Score,Agglomerative_Centroid_Matched_Score,LSI_Matched_Score,mean_score
2007-01-01,0.3101405357820885,0.35217360109864265,0.3782638272356257,0.4301529979097959,0.36768274050653815
2007-04-01,0.3101405357820885,0.35217360109864265,0.3782638272356257,0.4301529979097959,0.36768274050653815
2007-07-01,0.2256033578174187,0.18952412369791377,0.42154905249927926,0.2069451717589813,0.26090542644339826
2007-10-01,0.18774445893089964,0.22183318402636273,0.47466932760762026,0.2610478535402559,0.28632370602628465
2008-01-01,0.12995729103111653,0.2544803031182771,0.3642156232666928,0.2837297461803151,0.25809574089910037
2008-04-01,0.1459398069278819,0.2732520510784382,0.34823329875612974,0.2905274305278519,0.26448814682257543
2008-07-01,0.11607992388201716,0.08321979548271402,0.3814648012095517,0.08711747648252527,0.16697049926420204
2008-10-01,0.18438818565400839,0.21714035933703524,0.39303603192171604,0.3223280677901274,0.27922316117572177
2009-01-01,0.18703007518796988,0.2668022767390815,0.40723373202429924,0.34407202627545014,0.3012845275567002
2009-04-01,0.12528473804100226,0.08654866749825947,0.3631702161886507,0.12989733296086825,0.17622523867219517
2009-07-01,0.2804532577903682,0.1757359636203931,0.34819214083820693,0.2311415894611274,0.2588807379275239
2009-10-01,0.26919708029197076,0.29522899194034696,0.371775862764351,0.3935947341844233,0.332449167295273
2010-01-01,0.29627289955780167,0.21286745090353354,0.4498384916493127,0.29389752074627434,0.3132190907142306
2010-04-01,0.3482100238663485,0.2742784440761222,0.3600304466449416,0.37088409388867666,0.3383507521190222
2010-07-01,0.30590339892665475,0.34363638272097025,0.36776467705512106,0.39952406556026254,0.35420713106575213
2010-10-01,0.26668284396991027,0.3026512400763341,0.44214296163413325,0.38381731958728504,0.34882359131691565
2011-01-01,0.3438320209973753,0.36254325811218235,0.4509506594706227,0.4432187479354065,0.4001361716288967
2011-04-01,0.31029023746701845,0.2524164488765764,0.4556357004150152,0.34673492122718014,0.3412693269964476
2011-07-01,0.3101405357820885,0.35217360109864265,0.3782638272356257,0.4301529979097959,0.36768274050653815
2011-10-01,0.3101405357820885,0.35217360109864265,0.3782638272356257,0.4301529979097959,0.36768274050653815
2012-01-01,0.3101405357820885,0.35217360109864265,0.3782638272356257,0.4301529979097959,0.36768274050653815
2012-04-01,0.19878520154610713,0.2785928158533982,0.3930708023377011,0.3129656254256307,0.2958536112907093
2012-07-01,0.3468634686346863,0.3549917163954144,0.36984438586374796,0.4068216698067796,0.369630310175157
2012-10-01,0.4053655660377359,0.47569562977724766,0.42940159044459475,0.5486016914094203,0.46476611941724966
2013-01-01,0.34090909090909094,0.3910053773953,0.4418544290046214,0.4450166264711552,0.4046963809450419
2013-04-01,0.35571923743500866,0.29392309124171867,0.39986144166198395,0.3777764625693835,0.35682005822702373
2013-07-01,0.3068844807467911,0.35591423637152464,0.28854390000293745,0.44053337104092793,0.3479689970405453
2013-10-01,0.35517529215358934,0.3579673908131672,0.43521879840495464,0.42280346317037104,0.3927912361355205
2014-01-01,0.3104417670682731,0.2671550298431257,0.39164644866271225,0.33022516299343607,0.3248671021418868
2014-04-01,0.33888739586132754,0.3847020724691014,0.43387300860792855,0.45793689268812354,0.40384984240662025
2014-07-01,0.2927994121969141,0.40073542042496935,0.5380848846975099,0.4376768004293475,0.4173241294371852
2014-10-01,0.3759715025906736,0.3817106871780148,0.4167003608469257,0.4469563769525454,0.40533473189203983
2015-01-01,0.3370118845500849,0.30180455487126007,0.3449196090604644,0.3907581251329759,0.34362354340369633
2015-04-01,0.3683274021352313,0.3493554858018709,0.5060101437794302,0.4092310457177344,0.4082310193585667
2015-07-01,0.32832080200501257,0.3894655025497674,0.31298880620861813,0.4662605015115473,0.3742589030687364
2015-10-01,0.31803490627020037,0.4509127977546135,0.3750628532616997,0.5127796954027122,0.41419756317230644
2016-01-01,0.3942953020134228,0.4649042555126847,0.36925278861087657,0.5377603911546319,0.441553184322904
2016-04-01,0.38367433031006115,0.49617573188669506,0.3948028571842873,0.5782528025814322,0.4632264304906189
2016-07-01,0.38564894225271584,0.4159962121337362,0.344620994364516,0.4996437275203694,0.41147746906783433
2016-10-01,0.43250192851632807,0.47374605309136864,0.4012019488659419,0.5566473811987738,0.4660243279181031
2017-01-01,0.397609561752988,0.4011400053472308,0.3924502627212346,0.48993762775863103,0.42028436439502115
2017-04-01,0.3337066069428891,0.3613799048388096,0.36312617558025195,0.4475406043766247,0.37643832293464385
2017-07-01,0.33891625615763543,0.3260744692560122,0.3215236268814808,0.4003332887435395,0.34671191025966697
2017-10-01,0.3406808035714286,0.4478595974463928,0.41693499075918816,0.5156616252405294,0.43028425425438477
2018-01-01,0.2992125984251969,0.4686625676279688,0.3161620817189826,0.5380669907248514,0.4055260596242499
2018-04-01,0.3500717360114778,0.4327672121072718,0.33958479996478963,0.5419633287712213,0.41609676921369015
2018-07-01,0.3021060275962236,0.4013767912889696,0.41903752648165415,0.4448887057049905,0.3918522627679595
2018-10-01,0.39255499153976314,0.4794607832671925,0.42797837636867436,0.5585376754767959,0.4646329566631065
2019-01-01,0.3582608695652174,0.43900684371114235,0.3997482143335309,0.4884908995693783,0.4213767067948172
2019-04-01,0.3030625265844321,0.3592787184944356,0.30659181485255943,0.5467316881989464,0.3789161870325934
2019-07-01,0.343175487465181,0.42901775875279297,0.278804128367166,0.49997536243044943,0.38774318425389737
2019-10-01,0.375889890840057,0.500663278420075,0.38936060254716387,0.556468181482857,0.45559548832253816
