Quarter,Jaccard_Matched_score,KMeans_Embedding_Matched_Score,Cosine_glove_embedding_Matched_Score,Agglomerative_Centroid_Matched_Score,LSI_Matched_Score,mean_score
2007-01-01,0.19377496212642886,0.30216434200744424,0.5877403393387794,0.4439685071882286,0.4272530325842272,0.3909802366490217
2007-04-01,0.19819672131147537,0.28728027377206494,0.5608416497707367,0.3797692269072371,0.41501544659958506,0.3682206636722198
2007-07-01,0.1739385638818235,0.3009878653706453,0.5191030614078045,0.44256706748328045,0.40236481096379134,0.36779227382146906
2007-10-01,0.07259425998874502,0.1473524651119755,0.4771412741392851,0.2746788750110147,0.28133895429798506,0.2506211657098011
2008-01-01,0.17687017859027465,0.3468233348734321,0.49403258645907044,0.31661377681574937,0.5128826699713052,0.3694445093419664
2008-04-01,0.17687017859027465,0.3468233348734321,0.49403258645907044,0.31661377681574937,0.5128826699713052,0.3694445093419664
2008-07-01,0.17687017859027465,0.3468233348734321,0.49403258645907044,0.31661377681574937,0.5128826699713052,0.3694445093419664
2008-10-01,0.17687017859027465,0.3468233348734321,0.49403258645907044,0.31661377681574937,0.5128826699713052,0.3694445093419664
2009-01-01,0.17687017859027465,0.3468233348734321,0.49403258645907044,0.31661377681574937,0.5128826699713052,0.3694445093419664
2009-04-01,0.17687017859027465,0.3468233348734321,0.49403258645907044,0.31661377681574937,0.5128826699713052,0.3694445093419664
2009-07-01,0.17687017859027465,0.3468233348734321,0.49403258645907044,0.31661377681574937,0.5128826699713052,0.3694445093419664
2009-10-01,0.1406469760900141,0.31364411292857775,0.4612496867775917,0.45156761350609853,0.413159250756613,0.35605352801177903
2010-01-01,0.21452404317958784,0.27095821142014703,0.44643668085336685,0.3661639611523995,0.3613438214342368,0.3318853436079476
2010-04-01,0.12186216339570977,0.20795626390776556,0.470093559473753,0.39058704471960787,0.26699420362102017,0.2914986470235713
2010-07-01,0.17687017859027465,0.3468233348734321,0.49403258645907044,0.31661377681574937,0.5128826699713052,0.3694445093419664
2010-10-01,0.17687017859027465,0.3468233348734321,0.49403258645907044,0.31661377681574937,0.5128826699713052,0.3694445093419664
2011-01-01,0.17687017859027465,0.3468233348734321,0.49403258645907044,0.31661377681574937,0.5128826699713052,0.3694445093419664
2011-04-01,0.0791738382099828,0.1029861038842809,0.44944507628679276,0.3846068733571134,0.22361935536125094,0.24796624941988413
2011-07-01,0.17687017859027465,0.3468233348734321,0.49403258645907044,0.31661377681574937,0.5128826699713052,0.3694445093419664
2011-10-01,0.16441851986875688,0.28928786788275795,0.6092712357640266,0.3465138993423321,0.38022806936359205,0.3579439184442931
2012-01-01,0.04683118339876613,0.1299776534666805,0.5983452424407005,0.38434923038275076,0.20891514317009452,0.2736836905717984
2012-04-01,0.08954831932773111,0.1922599679779385,0.49846472730860114,0.43385021167709736,0.3442211827352129,0.3116688818053162
2012-07-01,0.2063568504695401,0.4504197079363773,0.46900175884366035,0.26671448911327106,0.6153243948760742,0.4015634402477846
2012-10-01,0.1724137931034483,0.41410913822695666,0.4959917599335313,0.3122879473852181,0.572915250215952,0.3935435777730213
2013-01-01,0.24253328535444407,0.468744544498274,0.47445713356137276,0.3438103945794156,0.6590744416378329,0.4377239599262678
2013-04-01,0.223408410363234,0.3567643733789661,0.5163907241076231,0.4376493853220179,0.5673185449968827,0.4203062876337448
2013-07-01,0.16256376136615658,0.3628881911793716,0.4880466554313898,0.4158693163113861,0.5056695526579348,0.3870074953892478
2013-10-01,0.1696861857004206,0.4528475184637151,0.44863199815154076,0.4243546456291659,0.5922545598199516,0.4175549815529587
2014-01-01,0.20066445182724257,0.44931128044955243,0.397539883852005,0.34747068283985555,0.642661407521604,0.40752954129805186
2014-04-01,0.24448818897637792,0.5351566572720708,0.46006663143634796,0.30059463286066046,0.6479373393135259,0.4376486899717967
2014-07-01,0.21205490352098666,0.5410734921706545,0.4879046157002449,0.41921385850203424,0.6342804646850353,0.45890546691579104
2014-10-01,0.16943950896462612,0.4935345734146693,0.5652263909578323,0.335664908964002,0.6130885865281674,0.4353907937658594
2015-01-01,0.18453822206848847,0.34727081976155333,0.5157069433480501,0.37834019298755084,0.4875003443176655,0.38267130449666165
2015-04-01,0.19611489977268026,0.39572996845930675,0.5060872752219439,0.3856436348381495,0.5463420040324046,0.405983556464897
2015-07-01,0.20515613652868558,0.4603645822489402,0.5338096581399441,0.3001278497703619,0.5986950615954045,0.41963065765666724
2015-10-01,0.18917755131333425,0.4758968974433473,0.4663050249218941,0.33673086763798976,0.6328430977748432,0.4201906878182817
2016-01-01,0.14587770003042289,0.5173667219666688,0.4156791865825653,0.27311128440707605,0.671574292048469,0.40472183700704034
2016-04-01,0.10826210826210825,0.37157685764917187,0.3453735113143921,0.334426712255412,0.4951714587907141,0.3309621296543596
2016-07-01,0.20822324966974903,0.46472933239883246,0.5068489154800773,0.26469407212704604,0.6146454970766445,0.4118282133504699
2016-10-01,0.18498764147261615,0.5068567044839376,0.47139259800314903,0.2528719861284591,0.6633304823818716,0.4158878824940067
2017-01-01,0.14044870963558553,0.44220862748806866,0.5250183213502169,0.2956270395981465,0.5993931964067126,0.4005391788957461
2017-04-01,0.2115872057936029,0.4947327672682435,0.5508595407009125,0.2747491259280805,0.6627589132042182,0.43893751057901154
2017-07-01,0.12553035844915872,0.4340482631322922,0.5957298651337624,0.27648411557279834,0.5848174819689859,0.40332201685139946
2017-10-01,0.09818731117824775,0.2836252494492662,0.49789440259337425,0.32683162322182535,0.5364109290091011,0.348589903090363
