Quarter,Jaccard_Matched_score,KMeans_Embedding_Matched_Score,Cosine_glove_embedding_Matched_Score,Agglomerative_Centroid_Matched_Score,LSI_Matched_Score,mean_score
2007-01-01,0.3101405357820885,0.35217360109864265,0.4744478836655617,0.3782638272356257,0.43015299790979594,0.3890357691383429
2007-04-01,0.3101405357820885,0.35217360109864265,0.4744478836655617,0.3782638272356257,0.43015299790979594,0.3890357691383429
2007-07-01,0.2256033578174187,0.18952412369791377,0.5756236463785172,0.42154905249927926,0.2069451717589812,0.32384907043042205
2007-10-01,0.18774445893089964,0.22183318402636273,0.41653797030448914,0.47466932760762026,0.2610478535402567,0.3123665588819257
2008-01-01,0.12995729103111653,0.2544803031182771,0.516854289919138,0.3642156232666928,0.2837297461803173,0.3098474507031083
2008-04-01,0.1459398069278819,0.2732520510784382,0.5238622538745403,0.34823329875612974,0.29052743052785385,0.31636296823296883
2008-07-01,0.11607992388201716,0.08321979548271402,0.45776478946208954,0.3814648012095517,0.08711747648252605,0.22512935730377967
2008-10-01,0.18438818565400839,0.21714035933703524,0.40185385942459106,0.39303603192171604,0.3223280677901274,0.3037493008254956
2009-01-01,0.18703007518796988,0.2668022767390815,0.4297987073659897,0.40723373202429924,0.3440720262754508,0.3269873635185582
2009-04-01,0.12528473804100226,0.08654866749825947,0.4406571760773659,0.3631702161886507,0.12989733296086842,0.22911162615322933
2009-07-01,0.2804532577903682,0.1757359636203931,0.43232347816228867,0.34819214083820693,0.23114158946112728,0.29356928597447685
2009-10-01,0.26919708029197076,0.29522899194034696,0.4102761894464493,0.371775862764351,0.39359473418442276,0.3480145717255082
2010-01-01,0.29627289955780167,0.21286745090353354,0.49878126941621304,0.4498384916493127,0.29389752074627407,0.350331526454627
2010-04-01,0.3482100238663485,0.2742784440761222,0.5892333760857582,0.3600304466449416,0.3708840938886766,0.38852727691236943
2010-07-01,0.30590339892665475,0.34363638272097025,0.634139358997345,0.36776467705512106,0.39952406556026215,0.4101935766520707
2010-10-01,0.26668284396991027,0.3026512400763341,0.4763139672577381,0.44214296163413325,0.38381731958728543,0.37432166650508025
2011-01-01,0.3438320209973753,0.36254325811218235,0.4299548864364624,0.4509506594706227,0.44321874793540644,0.40609991459040984
2011-04-01,0.31029023746701845,0.2524164488765764,0.5589200183749199,0.4556357004150152,0.3467349212271805,0.3847994652721421
2011-07-01,0.3101405357820885,0.35217360109864265,0.4744478836655617,0.3782638272356257,0.43015299790979594,0.3890357691383429
2011-10-01,0.3101405357820885,0.35217360109864265,0.4744478836655617,0.3782638272356257,0.43015299790979594,0.3890357691383429
2012-01-01,0.3101405357820885,0.35217360109864265,0.4744478836655617,0.3782638272356257,0.43015299790979594,0.3890357691383429
2012-04-01,0.19878520154610713,0.2785928158533982,0.46683573722839355,0.3930708023377011,0.31296562542563056,0.33005003647824604
2012-07-01,0.3468634686346863,0.3549917163954144,0.4744478836655617,0.36984438586374796,0.40682166980678,0.390593824873238
2012-10-01,0.4053655660377359,0.47569562977724766,0.4850794617086649,0.42940159044459475,0.5486016914094202,0.4688287878755327
2013-01-01,0.34090909090909094,0.3910053773953,0.46683573722839355,0.4418544290046214,0.4450166264711553,0.41712425220171223
2013-04-01,0.35571923743500866,0.29392309124171867,0.4744478836655617,0.39986144166198395,0.37777646256938274,0.3803456233147311
2013-07-01,0.3068844807467911,0.35591423637152464,0.4850794617086649,0.28854390000293745,0.4405333710409279,0.3753910899741692
2013-10-01,0.35517529215358934,0.3579673908131672,0.4744478836655617,0.43521879840495464,0.42280346317037104,0.4091225656415288
2014-01-01,0.3104417670682731,0.2671550298431257,0.4744478836655617,0.39164644866271225,0.33022516299343646,0.35478325844662184
2014-04-01,0.33888739586132754,0.3847020724691014,0.4744478836655617,0.43387300860792855,0.4579368926881229,0.41796945065840846
2014-07-01,0.2927994121969141,0.40073542042496935,0.4744478836655617,0.5380848846975099,0.43767680042934703,0.4287488802828604
2014-10-01,0.3759715025906736,0.3817106871780148,0.4744478836655617,0.4167003608469257,0.4469563769525463,0.4191573622467444
2015-01-01,0.3370118845500849,0.30180455487126007,0.4744478836655617,0.3449196090604644,0.3907581251329757,0.36978841145606933
2015-04-01,0.3683274021352313,0.3493554858018709,0.5792979300022125,0.5060101437794302,0.40923104571773405,0.4424444014872958
2015-07-01,0.32832080200501257,0.3894655025497674,0.4744478836655617,0.31298880620861813,0.4662605015115476,0.39429669918810145
2015-10-01,0.31803490627020037,0.4509127977546135,0.4744478836655617,0.3750628532616997,0.5127796954027123,0.42624762727095755
2016-01-01,0.3942953020134228,0.4649042555126847,0.4744478836655617,0.36925278861087657,0.5377603911546315,0.44813212419143544
2016-04-01,0.38367433031006115,0.49617573188669506,0.4744478836655617,0.3948028571842873,0.5782528025814316,0.46547072112560733
2016-07-01,0.38564894225271584,0.4159962121337362,0.5560599863529205,0.344620994364516,0.4996437275203694,0.4403939725248516
2016-10-01,0.43250192851632807,0.47374605309136864,0.391851007938385,0.4012019488659419,0.5566473811987735,0.4511896639221595
2017-01-01,0.397609561752988,0.4011400053472308,0.4744478836655617,0.3924502627212346,0.4899376277586306,0.43111706824912915
2017-04-01,0.3337066069428891,0.3613799048388096,0.4744478836655617,0.36312617558025195,0.447540604376625,0.3960402350808275
2017-07-01,0.33891625615763543,0.3260744692560122,0.4744478836655617,0.3215236268814808,0.4003332887435395,0.3722591049408459
2017-10-01,0.3406808035714286,0.4478595974463928,0.4744478836655617,0.41693499075918816,0.5156616252405297,0.43911698013662015
